,,,,
,DMI,DMII,Director,Senior Director
,,,,
,,,,
"AMBIGUITY
How complex is their portfolio

•••

Complexity of the projects they can drive and deliver

Amount of guidance needed when confronted with new tasks or products","DMIs can help their team navigate a loosely defined product strategy through their understanding of the impact on related products as well as their own and proactively work with peers and other leads to build platform context.

They can independently drive new projects or topics within their product portfolio. They can add new items to their portfolio with guidance from senior management.","DMIIs help define platform strategy with cross-functional peers. Use expertise and judgment to drive clarity (product requirements, business needs, team goals, priorities, etc) and can add products to their portfolio with minimum guidance from senior management.

They enable new research to enrich context and cover any blind spots, identifying potential internal or external impacts to any product at Datadog.

They excel at rallying people within their product area to secure beginning-to-end delivery.",-,-
,,,,
"SCOPE & INFLUENCE
How much impact they have

•••

Size & shape of their portfolio (feature, product, product area)

Size & shape of their team

Influence over best practices inside and outside their team

Breadth and level of effective communication
","DMIs typically manage a single team of 3 to 7 designers with well-defined product scope one or more traits in common; seeking guidance from senior management on challenging issues of people, portfolio, and team management.

They are capable of contributing a significant amount of high quality design, meeting the bar for a Senior level when and where it is best to support their team, striking a balance between design (player) and management (coach) that shifts towards management as team size grows.
","DMIIs typically manage multiple teams with related product scope. Their teams might include different profiles and levels of Seniority and often includes managing multiple layers of management.

They usually team up with other orgs to design a vision to deliver the right product and business value, constructively representing the needs of their design team.

They use expertise and judgment to determine the right stakeholders and which input to incorporate into projects – don't avoid seeking out alignment with those who know will have reasons to disagree. Identifies product and business opportunities. Works with Leads/DMs to set quarterly OKRs for all teams.

DMIIs produce regular updates for their product areas and facilitate fast and effective decision-making from stakeholders, contributing to best practice discussions across the company, helping us learn from past mistakes and successes.
","Directors typically manage a business area, encompassing diverse technical functions and multiple levels of management. They oversee team composition in their area, focusing on healthy team design and ensuring projects have appropriate staffing.

Exceptional communicators, directors simplify complex design efforts, build consensus among design peers and leads and align teams toward coherent design standards.
","Senior Directors typically manage multiple business areas. 

They make critical decisions that shape company-wide design standards. 

Senior Directors excel in communication across diverse groups, building consensus among executives and spearheading long-term investments that enhance the organization’s impact.
"
,,,,
"PORTFOLIO MANAGEMENT
How much we influence quality of our product portfolio

•••

Understanding the product strategy for their portfolio

Improving quality through guidance

Partnering with Product & Eng peers to row in unison","DMIs consistently push to improve user experience of their products, pushing ICs to increase the overall quality of designs.

They use product context to make sure design decisions are well informed and that design trade-offs made will not have adverse impacts.

They partner with Product and Engineering peers to build product context for their portfolio, sharing and explaining it to reports, peers and senior management.","DMIIs are accountable for designs delivered and their impact on our design standards to the business. They make sure designs delivered account for product usability and system compliance, modularity, etc.

They are responsible for design review processes, in order to raise the design quality bar for their teams through mentoring and guidance. They work with DMIs, peers and stakeholders to make sure ICs in their teams are receiving timely and appropriate feedback.

They stay connected to products (e.g., spot checks design reviews) and how they actually work so their instincts are grounded in reality. They can evaluate product opportunities, determining which to invest in for future business value (and which to divest out of).

DMIIs prioritize design quality and resolve issues quickly, anticipating bottlenecks, gaps, design quality issues that impact experience, etc.","Directors lead initiatives within their business area to systematically improve the quality of management, elevating design management, design delivery, operations, and other design practices.

They ensure all teams are investing in quality in the design and design process, keeping in mind the consequences of modular vs. bespoke design. They also ensure critical design decisions are sound and stay connected to how products work so instincts are grounded in reality.

They influence other leaders to prioritize the resolution of cross-product design issues. They also identify areas of opportunity, anticipating, identifying, and resolving cross-team issues involving their org, escalating as needed. 
","Senior Directors establish a design strategy aligned with company goals, fostering collaboration across departments to ensure the user experience is central to our decision making.

They lead org-wide initiatives, elevating the impact and quality of design and across business.

Overseeing multiple organizations, they ensure their teams run well individually and are aligned internally as well as with the business.

Management is strategic: They may develop org-wide OKRs, and proactively work to inspire innovation and remove any blocks that stifle it. They build a team with a multi-year vision for impact and health."
,,,,
"PEOPLE MANAGEMENT
How effective are we at growing our designers

•••

Impact of mentoring inside and outside of our team

Managing and improving skill set of people they manage

Making sure the team is happy and motivated

Promoting retention through comp and promotion levers

Making sure the right person is in the right place","DMIs are usually Mentors for new leads, either new hires or promotions.

They are responsible for identifying areas of improvement for designers in their team and empowering ICs to drive their own progress to improve methodology and best practices within their team. This often includes encouraging independent learning of new tools/methods and help identify career growth opportunities.

They foster a sense of psychological safety within the team, starting with an employee’s onboarding. They ensure ideas are heard and respected and provide constructive performance feedback.

They work with DMII+ to support designer growth by finding project opportunities to allow designers to stretch their skills; encouraging designers to move to a new project or team; connecting designers with appropriate mentors, and more.","DMIIs educate the teams about new approaches and tools for process and work, balancing novelty against stability

They enable teams to adopt a user-centric design approach, guaranteeing strong focus on user experience while iterating efficiently to improve it. They coach senior designers and DM1s to write project plans for complex initiatives, expected to be delivered incrementally.

They can be Mentors for other people DMIIs across the design org.

They recognize and find ways to celebrate success. Make sure designers feel valued. Identify personal conflicts within their teams and between their teams and other teams, and proactively work to resolve them. They also identify people who are struggling and help TLs to get them back on track.

DMIIs participate in calibration processes to ensure fair and consistent compensation across the design org.","Directors mentor and guide teams in addressing organizational challenges, developing new leaders, and ensuring systematic growth, performance, and morale management.

They audit management practices, address promotion and compensation consistently, and foster an empowered, creative team environment by removing obstacles.

Directors also identify and nurture future leaders to drive critical initiatives.
","Senior Directors ensure their design leaders stay on top of growth, promotion, and performance in their teams.

Together with cross-discipline leaders they negotiate and create a design org that’s set up to drive business outcomes."
,,,,
